id	objectName	roomName	taskName	frequency	workType	description	objectId	roomId
"cmgzb2ta7001dvy7sj6vlr6k4"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Зона розлива"	"Влажная санитарная обработка мусорных контейнеров"	"Ежедневно"	"DISINFECTION"	"Влажная санитарная обработка мусорных контейнеров, замена пакетов"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb2rh90009vy7sn7ec6l8p"
"cmgzb2rt0000dvy7scbvjmi4l"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Туалеты и санузлы"	"Влажная санитарная обработка площадок обслуживания"	"Ежедневно"	"DISINFECTION"	"Влажная санитарная обработка площадок обслуживания"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb5os20005vy7ov8ldw5a3"
"cmgzb2rn4000bvy7soldre7wa"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Основной склад"	"Влажная санитарная обработка полов"	"Ежедневно"	"DISINFECTION"	"Влажная санитарная обработка полов от налипания"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbayz9001xvy9su6xpa0mz"
"cmgzb2ryy000hvy7sc9pcfkw5"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Комната отдыха склада"	"Влажная санитарная обработка стен выше 1.8м"	"QUARTERLY"	"DISINFECTION"	"Влажная санитарная обработка стен на высоте выше 1.8м"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb2mv004fvy9shexjdfvx"
"cmgzb2rw0000fvy7sd9p7ar5p"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Офисы"	"Влажная санитарная обработка стен до 1.8м"	"Еженедельно"	"DISINFECTION"	"Влажная санитарная обработка стен на высоте до 1.8м"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb5qr40019vy7oeohkn61m"
"cmgyu7h7z034rvyjoy7f3d7ly"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Офисы склада"	"Влажная уборка"	"По мере необходимости, но не менее 3 раз в день"	"Уборка"	"Влажная уборка"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb07m002rvy9st1orqfo4"
"cmgyu7hh4034xvyjol7pn1jd0"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Внешняя территория"	"Влажная уборка"	"Ежемесячно"	"Уборка"	"Влажная уборка"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb40m005dvy9sv9it8wk9"
"cmgyu7hb1034tvyjozwzyn7th"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Туалеты на складе"	"Влажная уборка"	"По мере загрязнения"	"Уборка"	"Влажная уборка"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb1f8003lvy9sbmtmxsd5"
"cmgyu7gss034hvyjoz1fsh544"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Комната отдыха склада"	"Влажная уборка"	"Ежедневно (3 раз в день)"	"Уборка"	"Влажная уборка"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb2mv004fvy9shexjdfvx"
"cmgzbb5k1006fvy9sr22e7kr2"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Офисы склада"	"Влажная уборка аппаратов напитков"	"Ежедневно"	"CLEANING"	"Влажная уборка аппаратов напитков"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb07m002rvy9st1orqfo4"
"cmgzb5rk8001rvy7oznh4d2dn"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Склад запчастей"	"Влажная уборка верхних поверхностей шкафов"	"Еженедельно"	"CLEANING"	"Влажная уборка верхних поверхностей шкафов, стеллажей на высоту не более 3-х метров"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbax74000pvy9srnxtdysw"
"cmgzb5s6o0025vy7ovwlvimnz"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Коридоры и холлы"	"Влажная уборка входных дверей"	"Ежедневно"	"CLEANING"	"Влажная уборка стеклянных элементов входных дверей с применением специальных моющих средств, протирка насухо"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb5st4002jvy7ojuvb0ot0"
"cmgzbayet001jvy9scvpuvi5z"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Офисы склада"	"Влажная уборка дверей и ворот"	"Еженедельно"	"CLEANING"	"Влажная уборка дверей и ворот"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb07m002rvy9st1orqfo4"
"cmgzbaxln000zvy9sak1m69c7"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Зона розлива"	"Влажная уборка дверей и ворот"	"Еженедельно"	"CLEANING"	"Влажная уборка дверей и ворот"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb2rh90009vy7sn7ec6l8p"
"cmgzbawsk000fvy9s44y5l51d"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Основной склад"	"Влажная уборка дверей и ворот"	"Еженедельно"	"CLEANING"	"Влажная уборка дверей и ворот"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbayz9001xvy9su6xpa0mz"
"cmgzb5puo000pvy7o6djpad9n"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Туалеты на складе"	"Влажная уборка зеркал"	"Ежемесячно"	"CLEANING"	"Влажная уборка зеркал"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb1f8003lvy9sbmtmxsd5"
"cmgyu3uch00s9vyjoudfzidqj"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Основной склад"	"Влажная уборка зон разгрузки и погрузки доковых ворот изнутри (ворота, платформа, стены до 2 м от пола)"	"Еженедельно"	"Уборка"	"Влажная уборка зон разгрузки и погрузки доковых ворот изнутри (ворота, платформа, стены до 2 м от пола)"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbayz9001xvy9su6xpa0mz"
"cmgzb5q15000tvy7o6vhpvt76"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Комната охраны"	"Влажная уборка и дезинфекция мусорных корзин"	"Ежемесячно"	"DISINFECTION"	"Влажная уборка и дезинфекция мусорных корзин"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb79e007jvy9s8es5lwf1"
"cmgzbb5ba0069vy9sxvnenhqw"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Склад запчастей"	"Влажная уборка и дезинфекция напольных покрытий"	"Ежедневно"	"DISINFECTION"	"Влажная уборка и дезинфекция напольных покрытий"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbax74000pvy9srnxtdysw"
"cmgzb5p85000bvy7oorv5dtlq"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Офисы"	"Влажная уборка и дезинфекция раковин, кранов"	"Ежедневно"	"DISINFECTION"	"Влажная уборка и дезинфекция раковин, кранов, удаление локальных загрязнений, полировка кранов"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb5qr40019vy7oeohkn61m"
"cmgzb5q7q000xvy7o385etwsw"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Зона розлива"	"Влажная уборка и дезинфекция стен"	"Ежемесячно"	"DISINFECTION"	"Влажная уборка и дезинфекция стен на высоту не более 3-х метров"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb2rh90009vy7sn7ec6l8p"
"cmgyu3w4k00tdvyjovurk0kut"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Обеденный зал"	"Влажная уборка, контроль чистоты душевых кабин, обработка средствами с дезинфицирующими свойствами."	"1 раз в сутки"	"Уборка"	"Влажная уборка, контроль чистоты душевых кабин, обработка средствами с дезинфицирующими свойствами."	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb58e0067vy9s24pq97f7"
"cmgzb5rx1001zvy7omdgt3eux"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Внешняя территория"	"Влажная уборка корзин для мусора"	"Ежемесячно"	"CLEANING"	"Влажная уборка и дезинфекция корзин для мусора"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb40m005dvy9sv9it8wk9"
"cmgzbb64d006tvy9swb8b2zjq"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Зона розлива"	"Влажная уборка кулера"	"Ежедневно"	"CLEANING"	"Влажная уборка кулера"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb2rh90009vy7sn7ec6l8p"
"cmgyu3u9f00s7vyjojj9hvb18"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Котельная и компрессорные"	"Влажная уборка механизмов в зоне разгрузки и погрузки, ворот (ворота, платформа, стены до 2 м от пола)"	"Еженедельно"	"Уборка"	"Влажная уборка механизмов в зоне разгрузки и погрузки, ворот (ворота, платформа, стены до 2 м от пола)"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbay0a0019vy9so7mwlsbh"
"cmgzbaxa0000rvy9s857i7cj3"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Комната отдыха склада"	"Влажная уборка мусорного контейнера"	"Ежедневно"	"CLEANING"	"Влажная уборка мусорного контейнера"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb2mv004fvy9shexjdfvx"
"cmgzbay37001bvy9sbfmbo16e"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Коридоры и холлы"	"Влажная уборка мусорного контейнера"	"Ежедневно"	"CLEANING"	"Влажная уборка мусорного контейнера"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb5st4002jvy7ojuvb0ot0"
"cmgzbawdz0007vy9sh7ygw1hc"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Туалеты и санузлы"	"Влажная уборка мусорного контейнера"	"Ежедневно"	"CLEANING"	"Влажная уборка мусорного контейнера"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb5os20005vy7ov8ldw5a3"
"cmgzbb6os0077vy9swpsmti3m"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Офисы"	"Влажная уборка напольного покрытия"	"Ежедневно"	"CLEANING"	"Влажная уборка напольного покрытия ручным способом"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb5qr40019vy7oeohkn61m"
"cmgzb5quc001bvy7obryebsbu"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Туалеты и санузлы"	"Влажная уборка напольного покрытия"	"Ежедневно"	"CLEANING"	"Влажная уборка твердого напольного покрытия ручным способом"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb5os20005vy7ov8ldw5a3"
"cmgzbb7cb007lvy9shaxhxbf8"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Склад запчастей"	"Влажная уборка напольного покрытия"	"Ежедневно"	"CLEANING"	"Влажная уборка напольного покрытия ручным способом"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbax74000pvy9srnxtdysw"
"cmgzbb34d004rvy9s1r4ype51"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Основной склад"	"Влажная уборка отбойников и столбов"	"Ежедневно"	"CLEANING"	"Влажная уборка отбойников, столбов"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbayz9001xvy9su6xpa0mz"
"cmgzbb0p20033vy9sprvv7t8u"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"КПП"	"Влажная уборка отбойников и столбов"	"Ежедневно"	"CLEANING"	"Влажная уборка отбойников, столбов"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb6lv0075vy9s82a07qvc"
"cmgzbazhf0029vy9sdlc8vvpq"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Комната отдыха склада"	"Влажная уборка отбойников и столбов"	"Ежедневно"	"CLEANING"	"Влажная уборка отбойников, столбов"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb2mv004fvy9shexjdfvx"
"cmgzbb1wn003xvy9s17uvvd5i"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Котельная и компрессорные"	"Влажная уборка отбойников и столбов"	"Ежедневно"	"CLEANING"	"Влажная уборка отбойников, столбов"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbay0a0019vy9so7mwlsbh"
"cmgzb5r43001hvy7oafp2vv45"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Основной склад"	"Влажная уборка офисной мебели"	"Ежедневно"	"CLEANING"	"Влажная уборка рабочей поверхности офисной мебели (столы, тумбы). Персонал проинструктирован - не передвигать документы и офисные принадлежности на столах"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbayz9001xvy9su6xpa0mz"
"cmgzb5pht000hvy7ormevefg5"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Котельная и компрессорные"	"Влажная уборка перегородок и дверей"	"Еженедельно"	"CLEANING"	"Влажная уборка перегородок кабинок, дверей с применением специальных хим. средств"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbay0a0019vy9so7mwlsbh"
"cmgzb5qxl001dvy7o4bj8ey1n"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Офисы"	"Влажная уборка плинтусов и батарей"	"Еженедельно"	"CLEANING"	"Влажная уборка плинтусов, батарей"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb5qr40019vy7oeohkn61m"
"cmgzb5qaz000zvy7o6qxstsri"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Комната отдыха склада"	"Влажная уборка плинтусов и батарей"	"Еженедельно"	"CLEANING"	"Влажная уборка и дезинфекция плинтусов, батарей"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb2mv004fvy9shexjdfvx"
